,city_name,lat,lon,distance_to_center_km,land_area_m2,land_type,actual_price,predicted_price,error,absolute_error,percentage_error,signed_percentage_error
316,Альметьевск,54.88394031908067,52.339322855689545,3.0842668450247306,350.0,"СНТ, ДНП",480000,803734.8098453612,323734.80984536116,323734.80984536116,67.44475205111691,67.44475205111691
15,Альметьевск,54.9254657519521,52.3465475130347,4.10732459139822,600.0,ИЖС,1650000,2058173.2399124438,408173.2399124438,408173.2399124438,24.737772115905685,24.737772115905685
433,Альметьевск,55.07450955315789,52.43319042768263,21.18356394194857,2400.0,ИЖС,830000,688524.3146919673,-141475.68530803267,141475.68530803267,17.045263290124417,-17.045263290124417
39,Альметьевск,54.914812851715595,52.290023034440274,1.766283126917328,1500.0,ИЖС,14000000,13277611.683576569,-722388.316423431,722388.316423431,5.15991654588165,-5.15991654588165
517,Альметьевск,54.86762731877181,52.45270369592555,10.409637504357711,600.0,ИЖС,1850000,1791261.4830323341,-58738.51696766587,58738.51696766587,3.1750549712251823,-3.1750549712251823
281,Альметьевск,54.964597,52.476605,13.375034690004272,1200.0,"СНТ, ДНП",850000,1336024.4231413465,486024.42314134655,486024.42314134655,57.17934389898195,57.17934389898195
46,Альметьевск,54.85911179,52.59417725,19.35997447266789,1100.0,ИЖС,730000,659060.1074009268,-70939.89259907324,70939.89259907324,9.71779350672236,-9.71779350672236
93,Альметьевск,54.89302063,52.35744476,3.7542907604889897,300.0,"СНТ, ДНП",250000,395771.2454873542,145771.24548735417,145771.24548735417,58.30849819494167,58.30849819494167
322,Альметьевск,54.959072219899774,52.48076156166496,13.286259815043458,830.0000000000001,"СНТ, ДНП",1400000,810763.52785446,-589236.47214554,589236.47214554,42.08831943896715,-42.08831943896715
375,Альметьевск,54.8257103,52.36386871,9.216551007906688,1200.0,ИЖС,1250000,1369837.815634808,119837.81563480804,119837.81563480804,9.587025250784643,9.587025250784643
368,Альметьевск,54.864944551204474,52.45069593969103,10.397650477983557,600.0,ИЖС,2550000,1955881.3585544396,-594118.6414455604,594118.6414455604,23.298770252767074,-23.298770252767074
534,Альметьевск,54.96694946,52.54785919,17.497035033363172,1200.0,ИЖС,1750000,744332.1517847942,-1005667.8482152058,1005667.8482152058,57.46673418372604,-57.46673418372604
384,Альметьевск,54.930003012121745,52.38402100808396,6.3220362572245765,600.0,ИЖС,4350000,3069711.7572361757,-1280288.2427638243,1280288.2427638243,29.43191362675458,-29.43191362675458
