,city_name,lat,lon,distance_to_center_km,house_area_m2,land_area_m2,land_to_house_ratio,house_area_share,actual_price,predicted_price,error,absolute_error,percentage_error,signed_percentage_error
114,Альметьевск,54.86644,52.268654,4.236239245510538,104.0,650.0,6.25,0.13793103448275862,6400000,7739252.4585972,1339252.4585972,1339252.4585972,20.92581966558125,20.92581966558125
94,Альметьевск,54.926232,52.191207,7.540696057625642,82.9,919.9999999999999,11.097708082026536,0.08266028517299832,6500000,8584693.222893143,2084693.222893143,2084693.222893143,32.07220342912528,32.07220342912528
271,Альметьевск,54.915187,52.08476,13.862585289015216,180.0,1100.0,6.111111111111111,0.140625,11000000,11011401.301571174,11401.301571173593,11401.301571173593,0.10364819610157812,0.10364819610157812
399,Альметьевск,54.888884,52.33566,2.5937839349685,162.6,720.0,4.428044280442805,0.18422841604350781,13000000,12414281.26936887,-585718.7306311298,585718.7306311298,4.5055286971625375,-4.5055286971625375
93,Альметьевск,54.836305537925476,52.270040427866206,7.337365776586197,75.0,900.0,12.0,0.07692307692307693,4800000,4622125.414970028,-177874.5850299718,177874.5850299718,3.7057205214577458,-3.7057205214577458
42,Альметьевск,54.84493502924378,52.0686330568323,16.019492488691107,200.0,4000.0,20.0,0.047619047619047616,7000000,8705472.136618655,1705472.1366186552,1705472.1366186552,24.363887665980787,24.363887665980787
173,Альметьевск,54.88037109,52.27405167,2.7418552389420188,30.5,430.0,14.098360655737705,0.06623235613463627,5100000,5641604.322421635,541604.3224216346,541604.3224216346,10.619692596502638,10.619692596502638
140,Альметьевск,54.97844887680407,52.22124327553102,10.06974819845803,154.0,700.0,4.545454545454546,0.18032786885245902,5500000,8494622.701203533,2994622.7012035325,2994622.7012035325,54.447685476427864,54.447685476427864
39,Альметьевск,54.961512,52.539577,16.76500447853098,194.0,4970.0,25.61855670103093,0.03756777691711851,2800000,7211994.273630577,4411994.273630577,4411994.273630577,157.5712240582349,157.5712240582349
400,Альметьевск,54.88401794,52.39670944,6.434864067161514,84.0,1490.0,17.738095238095237,0.053367217280813214,14500000,5586196.766326192,-8913803.233673807,8913803.233673807,61.474505059819364,-61.474505059819364
25,Альметьевск,54.89404678,52.1999054,6.434429569841486,76.6,500.0,6.527415143603133,0.1328477280610475,10000000,9713886.486962482,-286113.51303751767,286113.51303751767,2.861135130375177,-2.861135130375177
155,Альметьевск,54.91775894,52.34272766,3.370382669598552,118.0,800.0,6.779661016949152,0.12854030501089325,13500000,13934217.096773524,434217.09677352384,434217.09677352384,3.21642293906314,3.21642293906314
195,Альметьевск,54.902196,52.368835,4.407797984278577,98.8,1200.0,12.145748987854251,0.07607021866338158,5900000,9222429.726430397,3322429.7264303975,3322429.7264303975,56.31236824458301,56.31236824458301
137,Альметьевск,54.91217422,52.14183044,10.201675831236416,40.1,1500.0,37.40648379052369,0.026037270307122915,2300000,3476028.5165860383,1176028.5165860383,1176028.5165860383,51.131674634175575,51.131674634175575
77,Альметьевск,54.90811539,52.35725403,3.7699139503136383,110.0,670.0,6.090909090909091,0.14102564102564102,8900000,10406537.926162476,1506537.9261624757,1506537.9261624757,16.927392428791862,16.927392428791862
229,Альметьевск,55.04429245,52.3708725,16.67000242999346,150.0,1000.0,6.666666666666667,0.13043478260869565,12800000,8523681.924020465,-4276318.075979535,4276318.075979535,33.40873496859012,-33.40873496859012
22,Альметьевск,54.882033,52.273218,2.6315224279301104,320.0,600.0,1.875,0.34782608695652173,15500000,19926840.065163072,4426840.065163072,4426840.065163072,28.560258484923047,28.560258484923047
46,Альметьевск,54.90204,52.240052,3.8395446058004983,298.0,600.0,2.0134228187919465,0.33184855233853006,22900000,22171702.291076362,-728297.7089236379,728297.7089236379,3.1803393402778948,-3.1803393402778948
76,Альметьевск,54.977733,52.214765,10.215308459302898,196.0,1500.0,7.653061224489796,0.11556603773584906,17500000,9720813.81749444,-7779186.182505559,7779186.182505559,44.45249247146034,-44.45249247146034
321,Альметьевск,55.01053096072796,52.485025177276626,17.047647823288404,181.0,600.0,3.314917127071823,0.23175416133162613,9990000,3621075.9415190006,-6368924.058480999,6368924.058480999,63.752993578388384,-63.752993578388384
209,Альметьевск,54.905146,52.371278,4.5928419582364635,83.0,600.0,7.228915662650603,0.12152269399707175,6200000,6948379.232380604,748379.2323806044,748379.2323806044,12.070632780332328,12.070632780332328
148,Альметьевск,54.89821625,52.33910751,2.5083524533821793,98.0,600.0,6.122448979591836,0.14040114613180515,12200000,12068852.49460233,-131147.50539766997,131147.50539766997,1.0749795524399177,-1.0749795524399177
57,Альметьевск,54.82569504,52.36523056,9.257046651263396,95.3,1200.0,12.591815320041974,0.07357368949278159,7500000,5666111.560844066,-1833888.4391559344,1833888.4391559344,24.451845855412458,-24.451845855412458
408,Альметьевск,54.89851709023264,52.240641582948996,3.7988887436559495,210.0,350.0,1.6666666666666667,0.375,19800000,8596038.04735508,-11203961.95264492,11203961.95264492,56.58566642749959,-56.58566642749959
24,Альметьевск,54.82275277777514,52.163321590293435,12.259456522321384,86.0,3700.0,43.02325581395349,0.02271526677231907,5250000,3970036.570920507,-1279963.429079493,1279963.429079493,24.380255791990344,-24.380255791990344
17,Альметьевск,54.85564837233969,52.58755698187569,19.04541916180508,108.0,3000.0,27.77777777777778,0.03474903474903475,1850000,6413113.962854384,4563113.962854384,4563113.962854384,246.6548088029397,246.6548088029397
388,Альметьевск,54.904427,52.338076,2.4836289189754326,98.0,800.0,8.16326530612245,0.1091314031180401,7050000,11550556.72669642,4500556.72669642,4500556.72669642,63.83768406661589,63.83768406661589
390,Альметьевск,54.869865,52.44008,9.565832228690844,80.8,600.0,7.425742574257426,0.11868390129259695,10000000,6429053.977953537,-3570946.0220464626,3570946.0220464626,35.70946022046463,-35.70946022046463
31,Альметьевск,54.86350659220453,52.44647781552393,10.210656185384611,100.0,600.0,6.0,0.14285714285714285,4000000,7863092.234792425,3863092.2347924253,3863092.2347924253,96.57730586981063,96.57730586981063
281,Альметьевск,55.038746288711565,52.36183955345669,15.924786687850043,280.0,2900.0,10.357142857142858,0.0880503144654088,13000000,14160632.394798234,1160632.394798234,1160632.394798234,8.927941498447954,8.927941498447954
153,Альметьевск,54.72303391,52.24055481,20.043017029735523,44.4,4000.0,90.09009009009009,0.010978142616951835,1000000,1108648.2891307445,108648.28913074452,108648.28913074452,10.864828913074453,10.864828913074453
198,Альметьевск,54.9676,52.5362,16.85797929187862,65.0,2080.0,32.0,0.030303030303030304,2300000,2412074.855078808,112074.85507880803,112074.85507880803,4.872819786035132,4.872819786035132
84,Альметьевск,54.924221622339395,52.360341737666374,4.704257399771195,170.0,800.0,4.705882352941177,0.17525773195876287,21000000,16621414.254831897,-4378585.745168103,4378585.745168103,20.8504083103243,-20.8504083103243
406,Альметьевск,54.959635,52.523893,15.76682335998176,37.6,2290.0,60.90425531914893,0.016153978346794984,1000000,1325580.6141871235,325580.6141871235,325580.6141871235,32.55806141871235,32.55806141871235
172,Альметьевск,54.8650322,52.44280243,9.92753605506703,116.0,600.0,5.172413793103448,0.16201117318435754,15200000,8753293.372947263,-6446706.627052737,6446706.627052737,42.41254359903117,-42.41254359903117
