,city_name,lat,lon,distance_to_center_km,area_m2,rooms,is_studio,floor,floors_total,floor_ratio,area_per_room,is_top_floor,is_first_floor,actual_price,predicted_price,error,absolute_error,percentage_error,signed_percentage_error
396,Альметьевск,54.89473724,52.29695892,0.6166535563343207,33.0,,1,1,5,0.2,33.0,0,1,3000000,3584830.610278216,584830.6102782162,584830.6102782162,19.49435367594054,19.49435367594054
302,Альметьевск,54.905664,52.274377,1.755057003371007,60.3,3.0,0,5,5,1.0,20.099999999999998,1,0,5800000,5504003.572555914,-295996.4274440864,295996.4274440864,5.1033866800704555,-5.1033866800704555
543,Альметьевск,54.89002,52.23803,4.115160423323737,64.9,2.0,0,5,9,0.5555555555555556,32.45,0,0,9370000,9513399.07036612,143399.07036611997,143399.07036611997,1.5304063005989323,1.5304063005989323
44,Альметьевск,54.89203,52.28391,1.3579185370644744,73.9,2.0,0,6,16,0.375,36.95,0,0,10486410,10622699.928439282,136289.92843928188,136289.92843928188,1.2996814776389811,1.2996814776389811
390,Альметьевск,54.901372,52.36296,4.028336658084408,30.4,1.0,0,3,4,0.75,30.4,0,0,2550000,2956485.779617218,406485.77961721784,406485.77961721784,15.940618808518348,15.940618808518348
739,Альметьевск,54.90971,52.28456,1.462901925358752,104.4,4.0,0,7,9,0.7777777777777778,26.1,0,0,11742750,11622715.308690548,-120034.69130945206,120034.69130945206,1.0222025616610424,-1.0222025616610424
448,Альметьевск,54.9038,52.334797,2.264504798864262,71.1,3.0,0,8,9,0.8888888888888888,23.7,0,0,6000000,6794563.523095578,794563.523095578,794563.523095578,13.242725384926299,13.242725384926299
208,Альметьевск,54.89041,52.28283,1.530553978685245,69.8,2.0,0,12,16,0.75,34.9,0,0,10114020,10228347.54913424,114327.54913423955,114327.54913423955,1.1303868208115029,1.1303868208115029
198,Альметьевск,54.89041,52.28283,1.530553978685245,74.1,2.0,0,3,9,0.3333333333333333,37.05,0,0,10440690,10620233.00886361,179543.00886360928,179543.00886360928,1.719646966470696,1.719646966470696
668,Альметьевск,54.89754105,52.29435349,0.4528871639589159,31.4,1.0,0,2,5,0.4,31.4,0,0,4210000,3176300.5704076053,-1033699.4295923947,1033699.4295923947,24.553430631648332,-24.553430631648332
516,Альметьевск,54.90847397,52.2598877,2.7320492145318735,34.0,1.0,0,1,9,0.1111111111111111,34.0,0,1,4100000,4043700.878630385,-56299.1213696152,56299.1213696152,1.3731493016979317,-1.3731493016979317
328,Альметьевск,54.90517807,52.30554962,0.6763171933378828,43.6,2.0,0,2,2,1.0,21.8,1,0,4600000,4506397.681088705,-93602.31891129538,93602.31891129538,2.034833019810769,-2.034833019810769
449,Альметьевск,54.891577,52.270873,2.084740482647411,51.3,2.0,0,4,5,0.8,25.65,0,0,6700000,6487461.62891653,-212538.37108347006,212538.37108347006,3.1722144937831356,-3.1722144937831356
626,Альметьевск,54.89675522,52.28707886,0.9015284895547578,58.0,3.0,0,5,5,1.0,19.333333333333332,1,0,4600000,5451685.535026964,851685.5350269638,851685.5350269638,18.51490293536878,18.51490293536878
583,Альметьевск,54.902139,52.298335,0.26058207688274554,52.1,2.0,0,2,3,0.6666666666666666,26.05,0,0,7200000,5884937.073822122,-1315062.926177878,1315062.926177878,18.264762863581637,-18.264762863581637
826,Альметьевск,54.903567,52.254003,2.967437254286755,47.6,2.0,0,5,8,0.625,23.8,0,0,6500000,5491955.230054479,-1008044.7699455209,1008044.7699455209,15.508381076084937,-15.508381076084937
314,Альметьевск,54.88496,52.26469,2.8099225036437168,79.5,3.0,0,6,18,0.3333333333333333,26.5,0,0,11269125,10990488.916459536,-278636.0835404638,278636.0835404638,2.4725618319120946,-2.4725618319120946
136,Альметьевск,54.90600694360575,52.280572653989395,1.4102572848131303,48.0,3.0,0,5,5,1.0,16.0,1,0,4100000,5226125.537663463,1126125.5376634626,1126125.5376634626,27.466476528377136,27.466476528377136
843,Альметьевск,54.906171,52.305521,0.7716463812067051,55.9,3.0,0,2,2,1.0,18.633333333333333,1,0,6150000,5673556.5685794195,-476443.4314205805,476443.4314205805,7.747047665375292,-7.747047665375292
361,Альметьевск,54.906254,52.250895,3.2155135505569215,61.4,2.0,0,9,9,1.0,30.7,1,0,7600000,7569455.999433644,-30544.000566355884,30544.000566355884,0.4018947442941564,-0.4018947442941564
493,Альметьевск,54.885933,52.266328,2.6614456029643554,35.2,1.0,0,3,10,0.3,35.2,0,0,5150000,4581277.665066519,-568722.3349334812,568722.3349334812,11.043152134630702,-11.043152134630702
60,Альметьевск,54.89203,52.28391,1.3579185370644744,73.9,2.0,0,15,16,0.9375,36.95,0,0,10486410,10369653.00677568,-116756.99322431907,116756.99322431907,1.113412437853556,-1.113412437853556
