iter	Passed	Remaining
864	16133	11843
865	16145	11820
866	16160	11798
867	16172	11775
868	16187	11753
869	16202	11732
870	16216	11711
871	16230	11689
872	16244	11666
873	16259	11645
874	16272	11623
875	16287	11601
876	16300	11579
877	16314	11557
878	16327	11534
879	16353	11521
880	16377	11507
881	16401	11492
882	16416	11471
883	16431	11450
884	16447	11429
885	16464	11409
886	16492	11397
887	16518	11384
888	16530	11361
889	16543	11339
890	16559	11318
891	16572	11295
892	16584	11272
893	16597	11250
894	16610	11228
895	16625	11207
896	16642	11187
897	16656	11166
898	16671	11145
899	16686	11124
900	16698	11101
901	16712	11080
902	16727	11059
903	16740	11036
904	16758	11017
905	16774	10998
906	16787	10975
907	16807	10957
908	16819	10935
909	16832	10913
910	16844	10890
911	16858	10869
912	16872	10847
913	16887	10827
914	16901	10805
915	16922	10788
916	16931	10764
917	16944	10742
918	16956	10720
919	16970	10698
920	16985	10678
921	16999	10656
922	17011	10634
923	17025	10613
924	17041	10593
925	17054	10571
926	17067	10549
927	17082	10529
928	17096	10507
929	17109	10486
930	17123	10465
931	17136	10443
932	17150	10422
933	17162	10400
934	17176	10379
935	17194	10360
936	17207	10339
937	17221	10317
938	17233	10296
939	17247	10275
940	17262	10254
941	17275	10232
942	17287	10211
943	17305	10192
944	17318	10171
945	17348	10159
946	17367	10142
947	17390	10126
948	17405	10105
949	17421	10086
950	17434	10064
951	17446	10042
952	17461	10022
953	17476	10002
954	17491	9981
955	17505	9961
956	17518	9939
957	17531	9918
958	17545	9897
959	17559	9877
960	17573	9856
961	17587	9836
962	17601	9815
963	17611	9792
964	17624	9770
965	17637	9750
966	17651	9729
967	17664	9708
968	17679	9688
969	17696	9669
970	17708	9647
971	17723	9627
972	17735	9606
973	17749	9585
974	17764	9565
975	17776	9544
976	17792	9524
977	17805	9503
978	17820	9483
979	17834	9463
980	17847	9442
981	17860	9421
982	17871	9399
983	17884	9378
984	17896	9356
985	17908	9335
986	17925	9316
987	17938	9296
988	17954	9277
989	17969	9256
990	17981	9235
991	17997	9216
992	18009	9195
993	18021	9173
994	18033	9152
995	18045	9131
996	18059	9111
997	18071	9089
998	18084	9069
999	18098	9049
1000	18111	9028
1001	18125	9008
1002	18137	8987
1003	18150	8966
1004	18162	8945
1005	18177	8925
1006	18189	8904
1007	18201	8884
1008	18251	8881
1009	18280	8868
1010	18305	8853
1011	18323	8835
1012	18346	8820
1013	18370	8804
1014	18390	8787
1015	18412	8771
1016	18426	8751
1017	18442	8732
1018	18455	8711
1019	18469	8691
1020	18482	8671
1021	18498	8651
1022	18511	8631
1023	18524	8610
1024	18539	8591
1025	18551	8570
1026	18562	8549
1027	18576	8529
1028	18589	8508
1029	18602	8488
1030	18614	8467
1031	18625	8446
1032	18638	8425
1033	18650	8405
1034	18663	8384
1035	18678	8365
1036	18690	8345
1037	18703	8324
1038	18716	8304
1039	18729	8284
1040	18741	8263
1041	18755	8243
1042	18767	8223
1043	18781	8203
1044	18793	8182
1045	18806	8162
1046	18822	8143
1047	18835	8123
1048	18849	8103
1049	18865	8085
1050	18878	8064
1051	18891	8045
1052	18903	8024
1053	18913	8003
1054	18925	7982
1055	18937	7962
1056	18949	7942
1057	18961	7921
1058	18973	7901
1059	18986	7881
1060	18999	7861
1061	19014	7842
1062	19028	7822
1063	19041	7802
1064	19054	7782
1065	19068	7763
1066	19080	7743
1067	19094	7723
1068	19105	7703
1069	19135	7689
1070	19148	7670
1071	19162	7650
1072	19176	7631
1073	19189	7611
1074	19201	7591
1075	19219	7573
1076	19233	7553
1077	19246	7534
1078	19258	7514
1079	19270	7494
1080	19285	7475
1081	19299	7455
1082	19312	7435
1083	19340	7422
1084	19363	7406
1085	19383	7389
1086	19396	7369
1087	19412	7350
1088	19427	7332
1089	19440	7312
1090	19452	7292
1091	19465	7272
1092	19479	7253
1093	19493	7234
1094	19506	7214
1095	19521	7195
1096	19533	7175
1097	19545	7155
1098	19557	7136
1099	19569	7116
1100	19584	7097
1101	19598	7078
1102	19612	7058
1103	19624	7039
1104	19637	7019
1105	19653	7001
1106	19668	6982
1107	19682	6963
1108	19699	6945
1109	19714	6926
1110	19726	6906
1111	19741	6888
1112	19754	6868
1113	19780	6853
1114	19793	6834
1115	19810	6816
1116	19822	6796
1117	19839	6778
1118	19852	6759
1119	19866	6740
1120	19881	6721
1121	19895	6702
1122	19906	6682
1123	19920	6663
1124	19934	6644
1125	19948	6625
1126	19961	6606
1127	19974	6587
1128	19985	6567
1129	19998	6548
1130	20012	6529
1131	20030	6511
1132	20043	6492
1133	20056	6473
1134	20069	6454
1135	20085	6435
1136	20099	6416
1137	20111	6397
1138	20124	6378
1139	20137	6359
1140	20143	6337
1141	20154	6318
1142	20167	6299
1143	20182	6280
1144	20197	6262
1145	20209	6242
1146	20226	6224
1147	20240	6206
1148	20257	6188
1149	20269	6169
1150	20282	6149
1151	20300	6132
1152	20323	6116
1153	20342	6099
1154	20359	6081
1155	20375	6063
1156	20393	6045
1157	20407	6026
1158	20419	6007
1159	20431	5988
1160	20447	5970
1161	20461	5951
1162	20488	5937
1163	20495	5916
1164	20507	5896
1165	20519	5877
1166	20533	5859
1167	20540	5838
1168	20555	5820
1169	20568	5801
1170	20580	5782
1171	20592	5763
1172	20605	5744
1173	20618	5725
1174	20631	5706
1175	20645	5688
1176	20659	5669
1177	20682	5653
1178	20697	5635
1179	20711	5616
1180	20725	5598
1181	20741	5580
1182	20755	5561
1183	20767	5542
1184	20779	5523
1185	20791	5504
1186	20805	5486
1187	20822	5468
1188	20835	5449
1189	20847	5430
1190	20862	5412
1191	20874	5393
1192	20889	5375
1193	20901	5356
1194	20915	5338
1195	20930	5320
1196	20944	5301
1197	20957	5283
1198	20971	5264
1199	20985	5246
1200	20997	5227
1201	21009	5208
1202	21023	5190
1203	21037	5171
1204	21049	5153
1205	21062	5134
1206	21076	5116
1207	21088	5097
1208	21104	5079
1209	21116	5061
1210	21128	5042
1211	21143	5024
1212	21157	5005
1213	21169	4987
1214	21184	4969
1215	21199	4951
1216	21219	4934
1217	21232	4915
1218	21245	4897
1219	21261	4879
1220	21278	4862
1221	21293	4844
1222	21317	4828
1223	21337	4811
1224	21359	4795
1225	21375	4777
1226	21388	4758
1227	21401	4740
1228	21413	4721
1229	21419	4701
1230	21430	4683
1231	21442	4664
1232	21455	4646
1233	21467	4627
1234	21479	4608
1235	21491	4590
1236	21503	4571
1237	21518	4554
1238	21531	4535
1239	21543	4517
1240	21556	4498
1241	21568	4480
1242	21588	4463
1243	21596	4444
1244	21609	4426
1245	21624	4408
1246	21639	4390
1247	21652	4372
1248	21665	4353
1249	21678	4335
1250	21690	4317
1251	21703	4299
1252	21717	4281
1253	21730	4262
1254	21742	4244
1255	21755	4226
1256	21769	4208
1257	21782	4190
1258	21808	4174
1259	21821	4156
1260	21829	4137
1261	21842	4119
1262	21855	4101
1263	21868	4083
1264	21880	4064
1265	21892	4046
1266	21905	4028
1267	21917	4010
1268	21929	3991
1269	21941	3973
1270	21953	3955
1271	21965	3937
1272	21977	3919
1273	21990	3900
1274	22003	3882
1275	22016	3865
1276	22030	3847
1277	22043	3829
1278	22056	3811
1279	22069	3793
1280	22083	3775
1281	22095	3757
1282	22107	3739
1283	22119	3721
1284	22131	3702
1285	22145	3685
1286	22158	3667
1287	22172	3649
1288	22185	3631
1289	22199	3613
1290	22212	3596
1291	22227	3578
1292	22240	3560
1293	22254	3542
1294	22266	3524
1295	22279	3506
1296	22294	3489
1297	22318	3473
1298	22339	3456
1299	22374	3442
1300	22390	3424
1301	22402	3406
1302	22415	3388
1303	22428	3371
1304	22440	3353
1305	22453	3335
1306	22466	3317
1307	22480	3299
1308	22495	3282
1309	22506	3264
1310	22519	3246
1311	22534	3229
1312	22548	3211
1313	22562	3193
1314	22576	3176
1315	22588	3158
1316	22603	3140
