iter	MAE	RMSE
299	1069772.881	1753383.914
300	1068307.548	1751947.865
301	1068166.697	1751777.185
302	1065550.483	1746407.764
303	1063879.826	1744903.937
304	1061792.48	1740602.086
305	1059633.121	1736383.906
306	1059490.222	1736218.679
307	1057399.935	1730938.527
308	1056287.896	1728435.201
309	1052291.028	1719581.322
310	1048894.145	1711704.381
311	1048760.985	1711542.105
312	1048216.502	1710203.655
313	1046825.682	1706190.928
314	1046272.79	1704874.301
315	1043066.75	1699283.873
316	1039530.073	1692396.025
317	1037175.442	1688793.841
318	1035793.585	1685216
319	1035255.126	1682974.634
320	1033456.016	1678178.519
321	1033338.724	1678022.694
322	1033208.635	1677866.671
323	1032628.708	1674725.242
324	1031841.372	1671694.229
325	1030048.07	1667674.93
326	1028822.858	1665182.412
327	1028692.886	1665030.277
328	1028147.265	1663593.326
329	1025730.639	1657515.475
330	1025603.471	1657366.681
331	1023213.071	1651517.314
332	1019966.642	1646085.178
333	1019506.364	1644778.753
334	1018155.648	1642289.523
335	1018073.98	1642172.932
336	1017331.283	1639366.919
337	1016373.689	1637640.962
338	1015209.916	1634391.154
339	1014635.853	1632525.738
340	1013255.942	1630829.528
341	1011544.117	1628113.949
342	1010837.25	1626000.935
343	1009245.386	1621803.954
344	1007020.79	1618013.735
345	1004436.351	1616005.082
346	1003933.917	1615330.952
347	1003019.989	1613335.458
348	1002634.246	1612770.447
349	1001662.859	1609723.069
350	998631.6676	1603794.59
351	998389.0956	1603317.614
352	996871.2208	1600517.405
353	996224.2362	1598684.326
354	996106.3923	1598546.454
355	995527.4618	1597756.028
356	995235.4777	1597460.194
357	995120.1603	1597328.442
358	994370.4801	1595661.063
359	991204.5025	1590128.49
360	989396.296	1585879.388
361	989101.9997	1585237.94
362	987351.2983	1581342.463
363	986875.944	1580305.83
364	986685.4792	1579856.67
365	985176.179	1576272.898
366	984297.8676	1574334.31
367	983636.7241	1572686.656
368	980893.5975	1570102.988
369	980153.8938	1567742.654
370	978097.3141	1564014.94
371	976513.3389	1562521.739
372	973407.3792	1557973.814
373	972152.4478	1555426.285
374	971663.2347	1554699.753
375	971032.0046	1552849.789
376	970191.4789	1550905.137
377	969573.4584	1550028.899
378	968080.8395	1547041.953
379	967381.1855	1545984.643
380	966721.0287	1544515.87
381	965336.6244	1542167.445
382	965150.4537	1541569.681
383	964337.7465	1539776.902
384	964031.5187	1539543.158
385	962768.7582	1536430.633
386	961970.7485	1534698.937
387	961542.424	1533838.442
388	961426.8142	1533642.521
389	960942.5255	1532695.831
390	960468.0744	1531792.253
391	958021.5865	1527810.047
392	955220.1069	1522907.554
393	954548.9447	1521424.863
394	951995.3441	1517003.321
395	950622.1847	1515616.134
396	950429.9221	1515444.295
397	950321.3162	1515333.352
398	948197.0393	1512987.844
399	947296.7081	1511422.913
400	945577.2104	1506605.643
401	944874.3237	1504680.784
402	943497.1592	1502422.565
403	942122.2604	1500738.533
404	941374.727	1499004.234
405	940942.7776	1497847.324
406	939592.8488	1494989.06
407	939497.4902	1494887.613
408	939057.0797	1493832.41
409	938430.4391	1492599.777
410	937730.9336	1490461.551
411	936622.4481	1487818.564
412	936006.5458	1486859.51
413	935771.1639	1486275.677
414	934591.04	1484054.882
415	933648.9473	1482272.112
416	932943.7554	1480593.176
417	932329.9922	1478571.831
418	931892.2808	1477990.16
419	931274.5901	1476716.924
420	928767.7833	1473227.829
421	928041.7149	1471986.142
422	926342.0936	1469351.39
423	926173.6168	1469040.658
424	925876.3039	1468264.947
425	924578.0369	1465875.698
426	924193.1904	1465072.854
427	924133.6261	1464923.547
428	923668.9168	1464155.374
429	922808.6934	1462257.875
430	922472.9119	1461865.022
431	922299.1489	1461721.38
432	920804.3087	1458643.234
433	919926.4039	1456775.056
434	917682.2141	1454755.05
435	916473.481	1452906.134
436	916274.8446	1452679.965
437	916143.0655	1452518.447
438	914063.7023	1447845.084
439	911873.4954	1442754.546
440	910439.9669	1439325.334
441	910274.8267	1439105.421
442	909009.1732	1436870.246
443	907109.3568	1433198.91
444	906247.4547	1431021.808
445	905891.41	1430251.865
446	903879.6539	1426219.244
447	903316.2286	1424466.959
448	902236.9697	1421839.745
449	900361.8892	1417829.489
450	899443.8972	1415925.93
451	898847.1194	1414587.575
452	898279.1978	1413806.907
453	898095.2325	1413561.391
454	897773.5928	1412894.921
455	895987.9255	1409129.954
456	895769.8075	1408768.084
457	894066.0751	1406317.269
458	893841.4787	1405794.795
459	892645.2219	1404643.398
460	890257.8498	1401510.909
461	890028.7051	1401049.605
462	889539.5197	1400278.414
463	889442.9427	1400189.61
464	887765.0065	1398594.148
465	887559.1877	1397275.771
466	886548.0949	1395066.886
467	885550.3621	1392742.355
468	883879.4686	1391350.365
469	883465.3865	1390507.832
470	883046.3485	1389819.627
471	881110.6588	1388319.094
472	879820.4955	1385289.851
473	879531.3036	1384780.608
474	879192.9416	1384314.44
475	878113.5079	1383062.447
476	877292.7247	1381318.379
477	877042.9368	1380819.265
478	876496.3122	1379579.792
479	876147.9651	1378802.185
480	875968.0702	1378437.728
481	875642.1327	1377855.422
482	874361.2749	1376536.934
483	872584.9639	1373782.904
484	872149.1949	1372655.279
485	872017.0708	1372412.807
486	869139.7233	1365813.286
487	868452.0863	1364848.67
488	867679.343	1363115.708
489	866073.0822	1360836.597
490	864702.1145	1359126.442
491	864293.5414	1358481.512
492	864031.0936	1357967.173
493	863191.5439	1356415.033
494	862776.9024	1354995.706
495	862461.5606	1354336.545
496	861990.0766	1353257.056
497	860458.2117	1350683.596
498	860076.9611	1349669.847
499	858610.9353	1347281.809
500	858288.8284	1346848.133
501	858031.2579	1346502.663
502	856193.4414	1342531.561
503	856004.4445	1341911.925
504	855719.015	1341269.942
505	854295.8304	1339449.092
506	854088.542	1339033.396
507	853291.5998	1337203.687
508	852950.1523	1336520.413
509	851486.8781	1333801.07
510	849647.3066	1330962.828
511	849437.0438	1330575.343
512	849155.0674	1329963.307
513	848689.0561	1329190.067
514	848173.1319	1327715.186
515	847181.7604	1325976.619
516	846438.2727	1324064.97
517	845312.9366	1321515.501
518	844541.5331	1320078.485
519	842917.4321	1317932.156
520	842492.0179	1317078.331
521	842347.9981	1316919.662
522	841720.8388	1316065.044
523	840823.9575	1313517.265
524	840669.9729	1313325.045
525	839766.0407	1311447.287
526	839510.268	1311088.6
527	838819.8259	1309835.857
528	838535.8253	1309413.337
529	837271.5649	1306573.899
530	836801.1557	1305507.084
531	836611.2413	1305245.237
532	834916.521	1303031.433
533	834648.3773	1302563.252
534	834168.994	1301415.342
535	833476.58	1300248.096
536	833012.4723	1299602.097
537	832102.5604	1297539.991
538	831919.3088	1297294.307
539	831710.127	1296997.194
540	831556.6315	1296770.618
541	830246.434	1294131.791
542	828733.9418	1290602.391
543	828165.9098	1289504.862
544	827635.4207	1288794.553
545	827551.9045	1288705.758
546	826963.0014	1287673.66
547	825655.8592	1285363.75
548	824226.4605	1284131.033
549	822412.9743	1281066.851
550	822148.1697	1280745.492
551	821855.3034	1280218.561
552	821180.328	1278498.719
553	820552.9513	1277386.505
554	820328.9695	1276913.291
555	819946.81	1275941.941
556	818397.879	1273877.804
557	818004.3633	1273257.263
558	817810.4673	1272845.183
559	817069.2361	1271134.449
560	815394.9318	1267532.316
561	814107.6003	1264761.422
562	813863	1264297.74
563	813640.8078	1264020.334
564	813379.3951	1262995.743
565	813193.3845	1262765.423
566	813059.1508	1262574.94
567	812875.5004	1262356.471
568	812680.3598	1262164.601
569	811531.0565	1260586.597
570	811233.554	1260002.37
571	809430.365	1256745.211
572	808903.8654	1255850.677
573	808059.5542	1253662.098
574	807348.0961	1252308.223
575	806757.8633	1251337.731
576	806054.1804	1250680.695
577	804736.844	1249071.106
578	803197.2222	1246974.854
579	801898.9973	1244789.861
580	800945.9034	1242762.452
581	799529.0142	1240033.764
582	799204.6037	1239381.796
583	798878.6203	1238650.683
584	798202.5319	1236743.524
585	797906.961	1236194.253
586	797101.6353	1234706.98
587	796917.1185	1234393.191
588	796639.143	1233752.007
589	796454.3977	1233471.521
590	795211.7663	1231437.232
591	794853.1367	1230883.786
592	793028.6028	1227971.793
593	791627.4766	1225413.186
594	790301.7804	1223962.291
595	790123.5003	1223809.806
596	789883.671	1223247.032
597	789536.5374	1222381.149
598	789526.8875	1222234.233
599	789455.9601	1222070.476
600	788392.7404	1220367.932
601	787427.5301	1218801.982
602	786152.3218	1217817.033
603	785404.0734	1216271.936
604	784612.8483	1214580.718
605	783905.6866	1213055.385
606	782905.0187	1211584.17
607	782630.942	1210650.862
608	781604.1406	1208826.534
609	781418.3573	1208515.689
610	781155.7351	1208020.129
611	780826.578	1207206.236
612	780040.7714	1206108.808
613	779542.4323	1205112.496
614	779245.3789	1204216.977
615	778905.6904	1203451.282
616	777436.7372	1200494.864
617	777113.2187	1199913.148
618	776372.0585	1198688.11
619	775013.9924	1197225.785
620	774246.3944	1196500.874
621	773774.9362	1195922.976
622	773462.4734	1195269.004
623	772153.6004	1192536.859
624	771793.6356	1191782.767
625	771588.7509	1191456.384
626	771393.2516	1191077.466
627	771002.9575	1190642.26
628	770826.7327	1190342.653
629	770607.4065	1189941.064
630	769231.3671	1187653.585
631	768290.5491	1185987.776
632	768024.6866	1185514.46
633	767255.8862	1184675.562
634	766917.6799	1184082.506
635	766875.3468	1184026.009
636	766298.2561	1182756.897
637	765382.2985	1180858.548
638	763776.2273	1179254.269
639	763448.7937	1178535.702
640	763323.644	1178207.038
641	763234.4181	1178002.808
642	762567.8166	1176545.97
643	761682.1728	1174807.936
644	761532.8154	1174604.884
645	761362.8023	1174330.978
646	761224.3183	1174183.951
647	760477.9628	1172708.773
648	759759.7216	1171376.554
649	759195.9865	1170381.547
650	758364.2785	1168866.164
651	757751.0327	1167484.678
652	757588.8543	1167220.116
653	756955.4052	1166188.01
654	756756.3176	1165690.598
655	756560.0558	1165331.875
656	756125.1194	1164563.974
657	755928.0532	1164177.251
658	755760.7171	1163928.563
659	755548.1765	1163119.966
660	754872.4391	1162260.66
661	753624.2798	1160055.521
662	753304.4962	1159342.982
663	752812.6093	1158324.912
664	752675.9789	1157971.599
665	752591.6743	1157651.39
666	751296.7438	1155356.393
667	751027.0697	1154540.755
668	750972.3284	1154469.409
669	750544.0591	1153689.454
670	749862.9731	1152245.71
671	749710.2204	1152009.936
672	747950.0926	1148562.159
673	747483.2854	1147787.025
674	747366.7516	1147494.532
675	747271.5167	1147319.416
676	746856.3024	1146530.597
677	745647.4238	1144411.87
678	744616.4054	1143476.864
679	744261.0281	1142777.361
680	743893.1706	1142081.285
681	742555.951	1139380.973
682	741230.1066	1136844.949
683	740829.7174	1136204.627
684	740416.5766	1134932.029
